names,position,nationality,mins played,shots,shots on target,goals,xG,chances created,assists,xA,passes,completed,tackles won,int,rec,avg distance,avg progress,shot-ending carry,goal-ending carry,end in chance,end in assist,shot-ending,goal-ending,total xG
ÁDÁM NAGY,3,HON,268,0,0,0,0,1,0,0.04,105,0.82,5,4,25,11.5,8.1,0,0,1,0,2,1,0.3
WILLI ORBAN,1,HON,270,0,0,0,0,0,0,0,80,0.83,2,0,9,12.6,3.5,0,0,0,0,2,0,0.1
ATTILA SZALAI,1,HON,270,0,0,0,0,0,0,0.01,124,0.76,4,1,19,10.5,6.6,0,0,0,0,0,0,0
RAFAEL TOLÓI,1,ITA,157,2,0,0,0.08,3,1,0.02,75,0.87,2,2,4,8.5,4.7,0,0,0,0,10,1,0.81
FRANCESCO ACERBI,1,ITA,231,1,0,0,0.05,2,1,0.17,171,0.93,1,6,11,10.7,8.1,0,0,1,0,16,2,1.27
GIORGIO CHIELLINI,1,ITA,444,2,1,0,0.06,1,0,0.07,302,0.9,2,9,21,9.5,6.8,0,0,0,0,14,0,0.66
LEONARDO BONUCCI,1,ITA,675,5,1,1,0.93,1,0,0.42,438,0.88,0,12,29,8.6,5.9,2,0,0,0,25,2,3.23
EMERSON,2,ITA,292,3,1,0,0.21,2,0,0.08,119,0.87,2,1,14,13.4,7.5,1,0,2,0,12,0,0.99
LEONARDO SPINAZZOLA,2,ITA,380,7,2,0,1.17,7,1,0.5,165,0.88,1,4,23,14,9.5,6,0,3,0,26,1,2.72
GIOVANNI DI LORENZO,2,ITA,585,5,0,0,0.66,4,0,0.2,278,0.83,8,8,23,11.1,7.3,1,0,1,0,20,1,1.47
BRYAN CRISTANTE,3,ITA,128,2,0,0,0.1,2,0,0.02,71,0.8,2,1,6,9.6,4.2,1,0,0,0,2,0,0.1
MATTEO PESSINA,3,ITA,190,4,3,2,0.81,3,0,0.07,55,0.78,2,2,5,13.3,7.6,0,0,1,0,8,1,1.02
MANUEL LOCATELLI,3,ITA,272,5,3,2,0.97,3,0,0.1,134,0.89,7,2,9,10.4,3.1,0,0,1,0,11,3,1.72
MARCO VERRATTI,3,ITA,401,4,2,0,0.57,12,0,0.5,408,0.93,9,6,37,8.5,4.4,1,0,3,0,37,2,3.08
NICOLÒ BARELLA,3,ITA,473,5,2,1,0.35,7,2,0.55,245,0.83,2,2,29,11.8,4.7,0,0,4,0,28,4,1.97
JORGINHO,3,ITA,705,0,0,0,0,7,0,0.8,512,0.93,4,25,48,10.2,6.1,0,0,0,0,38,2,3.32
FEDERICO BERNARDESCHI,4,ITA,127,4,1,0,0.17,2,0,0.22,42,0.69,2,2,6,12.2,5.6,1,0,0,0,7,0,0.77
ANDREA BELOTTI,4,ITA,215,9,2,0,1.11,1,0,0.02,29,0.59,3,1,4,9,2.3,0,0,0,0,10,0,1.14
DOMENICO BERARDI,4,ITA,374,14,2,0,1.47,7,1,1.16,125,0.74,0,5,12,12.6,4.1,7,0,2,1,28,3,3.19
FEDERICO CHIESA,4,ITA,438,17,6,2,1.15,6,0,0.72,96,0.8,3,0,7,14.1,8.4,9,1,3,0,29,2,3.46
CIRO IMMOBILE,4,ITA,446,18,3,2,2.38,3,2,0.66,120,0.79,0,0,14,11.5,4.5,5,0,1,0,30,4,3.22
LORENZO INSIGNE,4,ITA,512,19,7,2,1.24,7,0,1.05,310,0.81,1,3,27,11,5.1,4,1,5,0,40,2,3.72
GORAN PANDEV,4,MAC,249,2,1,1,0.34,3,0,0.05,51,0.65,0,1,4,9.7,-2.3,0,0,0,0,6,1,0.54
BOBAN NIKOLOV,2,MAC,120,4,1,0,0.29,1,0,0.09,27,0.7,2,0,2,9,4,1,0,0,0,6,0,0.4
ALEKSANDAR TRAJKOVSKI,4,MAC,176,6,2,0,0.17,3,1,0.16,55,0.82,0,2,8,10.2,3.7,1,0,1,0,12,0,0.44
ENIS BARDHI,3,MAC,237,5,1,0,0.19,3,0,0.22,106,0.85,2,2,17,11.9,6.5,2,0,0,0,10,0,0.46
ARIJAN ADEMI,3,MAC,254,1,1,0,0.08,1,0,0.03,99,0.86,4,7,16,11.8,5.6,1,0,0,0,4,0,0.19
DARKO VELKOVSKI,1,MAC,265,1,0,0,0.31,0,0,0.01,114,0.83,2,5,13,8.4,7,0,0,0,0,1,0,0.03
VISAR MUSLIU,1,MAC,266,1,0,0,0.31,2,0,0.01,110,0.85,3,3,16,13.5,2.5,0,0,0,0,6,0,0.19
STEFAN RISTOVSKI,1,MAC,270,2,0,0,0.05,0,0,0.05,137,0.77,4,8,26,11.5,8.4,1,0,0,0,9,0,0.47
ELJIF ELMAS,3,MAC,270,6,0,0,0.33,1,0,0.07,102,0.89,3,2,16,12.8,6.2,1,0,0,0,10,0,0.56
EZGJAN ALIOSKI,2,MAC,270,4,1,1,0.42,2,0,0.41,116,0.72,5,1,13,12.2,9.8,0,0,2,0,12,1,0.95
MATTHIJS DE LIGT,1,NED,235,4,2,0,0.96,1,0,0.01,130,0.9,4,1,13,9.6,5.8,0,0,0,0,7,0,1.74
STEFAN DE VRIJ,1,NED,315,1,1,0,0.55,1,0,0.04,192,0.86,3,3,28,9.5,5.2,0,0,0,0,9,0,1.05
FRENKIE DE JONG,3,NED,349,0,0,0,0,4,0,0.4,268,0.86,5,7,32,11.3,6,0,0,1,0,16,0,1.94
GEORGINIO WIJNALDUM,3,NED,360,10,4,3,1.87,2,0,0.39,115,0.87,4,3,24,9.7,3.8,0,0,1,0,18,3,2.9
MEMPHIS DEPAY,4,NED,327,11,4,1,1.82,4,1,1.45,145,0.77,0,1,12,10.7,7.5,3,0,2,1,23,3,4.43
RYAN GRAVENBERCH,3,NED,106,2,0,0,0.07,1,0,0.1,94,0.84,1,5,7,10.3,6.7,1,0,0,0,7,2,1.79
JURRIËN TIMBER,1,NED,142,1,1,0,0.03,0,0,0.07,106,0.92,5,1,17,9.4,4.4,0,0,0,0,5,0,0.52
DONYELL MALEN,4,NED,150,3,0,0,0.17,3,2,1.26,51,0.86,0,0,3,13.1,9.4,1,0,2,1,9,2,2.04
WOUT WEGHORST,4,NED,193,5,2,1,0.5,2,0,0.46,51,0.67,2,0,5,9.7,2.3,1,0,0,0,8,1,0.64
MARTEN DE ROON,3,NED,237,1,0,0,0.03,2,0,0.05,154,0.8,1,4,17,7.9,3,0,0,0,0,6,0,0.84
DALEY BLIND,1,NED,299,0,0,0,0,2,0,0.53,300,0.88,7,4,30,9.3,5.1,0,0,0,0,12,1,2
PATRICK VAN AANHOLT,2,NED,300,4,0,0,0.42,3,0,0.38,152,0.78,3,3,23,11.3,2.8,0,0,0,0,14,0,0.98
DENZEL DUMFRIES,2,NED,315,6,4,2,1.86,3,0,0.16,88,0.74,2,2,12,9.4,5.6,0,0,2,0,11,2,1.97
KAMIL GLIK,1,POL,270,1,0,0,0.07,1,0,0.05,143,0.82,1,6,12,8.5,4.4,0,0,0,0,5,0,0.22
PIOTR ZIELINSKI,4,POL,265,7,2,0,0.24,5,1,0.45,98,0.84,2,1,18,11.8,5.3,2,0,3,0,16,3,1.24
ROBERT LEWANDOWSKI,4,POL,270,12,4,3,2.38,3,0,1.65,62,0.69,0,1,9,14.8,7.4,4,1,0,0,14,4,3.35
GRZEGORZ KRYCHOWIAK,3,POL,140,4,1,0,0.12,0,0,0.06,81,0.79,0,2,9,8.2,4,0,0,0,0,10,0,0.36
TYMOTEUSZ PUCHACZ,2,POL,151,1,0,0,0.03,0,0,0.19,34,0.65,1,0,15,19,13.9,0,0,0,0,1,0,0.03
KAROL SWIDERSKI,4,POL,163,5,1,0,0.93,2,0,0.09,36,0.75,1,0,5,10.8,-1.3,0,0,1,0,7,0,0.99
MATEUSZ KLICH,3,POL,213,1,0,0,0.03,1,0,0.12,97,0.74,2,1,8,9.7,1.3,0,0,0,0,6,2,0.83
KAMIL JOZWIAK,2,POL,241,0,0,0,0,4,1,0.28,99,0.78,3,1,20,13.4,6.7,0,0,2,0,12,2,0.53
JAN BEDNAREK,1,POL,265,1,0,0,0.06,0,0,0.03,156,0.9,4,6,10,8.1,3,0,0,0,0,10,1,0.93
BARTOSZ BERESZYNSKI,1,POL,270,2,1,0,0.07,0,0,0.09,173,0.8,2,9,22,10.6,5.2,0,0,0,0,13,2,0.95
RÚBEN DIAS,1,POR,360,1,1,0,0.06,0,0,0.16,317,0.91,3,3,23,9.7,6.2,0,0,0,0,6,0,0.39
NÉLSON SEMEDO,2,POR,259,0,0,0,0,2,0,0.35,138,0.88,9,1,10,11.3,7.7,0,0,1,0,3,0,0.24
BRUNO FERNANDES,3,POR,206,4,1,0,0.13,3,0,0.85,82,0.88,2,0,6,11.8,5.4,1,0,0,0,9,0,0.91
DANILO PEREIRA,3,POR,237,1,1,0,0.34,1,0,0.06,132,0.91,2,5,19,10.6,2.8,0,0,0,0,7,0,0.76
BERNARDO SILVA,4,POR,243,0,0,0,0,5,0,0.66,98,0.82,2,1,15,11.4,6.1,0,0,3,0,8,1,1.36
DIOGO JOTA,4,POR,324,8,3,1,1.55,4,1,0.87,106,0.82,2,1,13,12.1,6.8,2,0,1,1,14,1,1.67
CRISTIANO RONALDO,4,POR,360,12,7,2,2.52,4,0,1,115,0.84,1,0,7,10.1,5.3,1,0,1,0,17,2,2.89
JOÃO PALHINHA,3,POR,123,5,0,0,0.24,0,0,0.02,57,0.91,6,0,5,10.2,4,1,0,0,0,8,0,0.35
WILLIAM CARVALHO,3,POR,139,0,0,0,0,0,0,0.05,93,0.89,2,1,9,10.5,4.7,0,0,0,0,1,0,0.09
JOÃO MOUTINHO,3,POR,155,3,0,0,0.1,1,0,0.06,100,0.92,2,2,5,9.4,4.1,0,0,0,0,9,1,1.21
RENATO SANCHES,3,POR,220,4,1,0,0.11,3,0,0.54,187,0.91,3,3,21,10.6,4.6,3,0,1,0,10,1,1.08
PEPE,1,POR,360,1,1,0,0.05,0,0,0.08,271,0.89,6,3,27,8.7,4.5,0,0,0,0,4,0,0.23
RAPHAEL GUERREIRO,2,POR,360,3,1,1,0.14,3,0,0.56,235,0.91,5,1,18,11,7,0,0,2,0,12,1,1.2
MARIO FERNANDES,2,RUS,206,2,1,0,0.1,0,0,0.22,53,0.77,2,2,10,11.2,5.2,0,0,0,0,3,0,0.14
ALEKSANDR GOLOVIN,4,RUS,270,5,1,0,0.26,1,0,0.55,105,0.8,4,1,17,12.5,4.9,3,0,0,0,12,1,0.79
ARTEM DZYUBA,4,RUS,265,4,2,0,0.34,4,1,0.42,80,0.56,0,0,9,9.9,1.4,0,0,1,0,10,1,0.71
VYACHESLAV KARAVAEV,2,RUS,134,0,0,0,0,1,0,0.33,48,0.73,4,0,8,16.8,12.3,0,0,0,0,3,0,0.3
DIMITRI BARINOV,3,RUS,135,0,0,0,0,0,0,0.02,101,0.78,2,0,8,9.1,4.5,0,0,0,0,5,0,0.41
ALEKSEY MIRANCHUK,4,RUS,173,2,1,1,0.12,4,0,0.45,49,0.84,2,0,5,11.2,6.9,0,0,1,0,8,1,0.57
DALER KUZYAEV,2,RUS,186,1,1,0,0.06,1,0,0.26,87,0.85,3,1,11,10.6,2.8,1,0,0,0,5,0,0.34
MAGOMED OZDOEV,3,RUS,212,4,0,0,0.24,1,0,0.71,90,0.74,4,3,18,9.2,3,0,0,0,0,9,1,0.63
IGOR DIVEEV,1,RUS,225,1,0,0,0.06,0,0,0.02,123,0.76,3,3,17,9.6,3,0,0,0,0,4,0,0.36
ROMAN ZOBNIN,3,RUS,243,3,0,0,0.13,1,0,0.05,115,0.76,5,5,20,12.1,3.3,0,0,0,0,9,0,0.57
GEORGI DZHIKIYA,1,RUS,270,0,0,0,0,0,0,0.07,122,0.88,4,1,13,10,6,0,0,0,0,6,0,0.48
MARTIN KOSCELNIK,2,SLO,101,1,0,0,0.07,0,0,0.11,33,0.85,1,1,6,10.4,5.2,0,0,0,0,0,0,0
MILAN SKRINIAR,1,SLO,270,1,1,1,0.05,0,0,0.01,163,0.91,2,4,11,8.6,1.5,0,0,0,0,5,1,0.19
MAREK HAMSIK,3,SLO,256,4,0,0,0.13,1,0,0.1,143,0.87,1,0,14,11.8,4.8,2,0,0,0,10,1,0.4
PATRIK HROSOVSKY,3,SLO,95,0,0,0,0,0,0,0.02,53,0.87,1,1,6,8,1,0,0,0,0,0,0,0
JAKUB HROMADA,3,SLO,124,0,0,0,0,0,0,0,37,0.78,1,5,7,10.8,5.7,0,0,0,0,2,0,0.08
LUKÁS HARASLÍN,4,SLO,182,3,0,0,0.11,1,0,0.03,38,0.71,2,2,9,9.4,1.3,1,0,1,0,4,0,0.15
ONDREJ DUDA,4,SLO,224,2,0,0,0.09,3,0,0.09,81,0.79,2,0,9,8.2,1.2,1,0,1,0,9,0,0.35
RÓBERT MAK,4,SLO,232,1,0,0,0.05,1,0,0.03,56,0.84,0,1,7,11.4,1.4,1,0,0,0,4,0,0.16
PETER PEKARÍK,2,SLO,233,1,0,0,0.03,3,0,0.13,125,0.83,2,2,12,11.2,5.8,0,0,2,0,8,0,0.35
TOMAS HUBOCAN,2,SLO,264,0,0,0,0,4,0,0.25,108,0.87,4,3,12,11.8,5.6,0,0,2,0,5,0,0.23
LUBOMÍR SATKA,1,SLO,270,0,0,0,0,1,0,0.04,189,0.92,2,7,7,10,6,0,0,0,0,3,0,0.11
JURAJ KUCKA,3,SLO,270,5,1,0,0.22,1,0,0.04,112,0.71,5,8,9,10.2,5.5,0,0,1,0,8,0,0.35
VICTOR LINDELÖF,1,SUE,390,0,0,0,0,1,0,0.06,207,0.87,0,3,15,12.5,6.7,0,0,1,0,8,0,0.87
DEJAN KULUSEVSKI,4,SUE,132,3,1,0,0.19,3,2,0.35,39,0.77,0,0,4,9.6,3.6,1,0,4,1,9,3,0.93
ROBIN QUAISON,4,SUE,125,1,1,0,0.06,0,0,0.01,15,0.53,0,0,5,7.1,-3.5,1,0,0,0,1,0,0.06
MARCUS BERG,4,SUE,178,2,0,0,0.75,0,0,0.04,38,0.61,0,0,6,6.8,0.6,0,0,0,0,6,1,1.33
CARL MIKAEL LUSTIG,2,SUE,316,1,0,0,0.04,3,0,0.19,148,0.72,3,4,13,9.2,1.7,0,0,1,0,8,0,0.86
ALEXANDER ISAK,4,SUE,324,8,2,0,1.16,4,2,1.56,65,0.75,2,3,9,11.3,4.5,1,0,2,0,13,2,2.38
KRISTOFFER OLSSON,3,SUE,339,1,0,0,0.03,0,0,0.25,154,0.84,1,5,15,9.8,3.8,0,0,0,0,5,0,0.67
LUDWIG AUGUSTINSSON,2,SUE,351,1,1,0,0.08,1,0,0.22,92,0.6,2,1,24,9.4,4.9,0,0,1,0,7,0,0.42
SEBASTIAN LARSSON,2,SUE,367,4,2,0,0.14,1,0,0.22,108,0.79,2,7,17,9.3,0.1,0,0,0,0,9,1,0.84
MARCUS DANIELSON,1,SUE,369,1,0,0,0.43,0,0,0.03,157,0.81,1,7,13,9.4,5.7,0,0,0,0,6,0,0.39
EMIL FORSBERG,2,SUE,370,13,4,3,0.99,5,0,0.35,134,0.85,1,3,17,10.1,3.7,4,2,1,0,19,3,1.66
ALBIN EKDAL,3,SUE,388,2,0,0,0.06,3,0,0.49,128,0.87,3,6,17,9.7,2.9,0,0,1,0,8,0,0.85
NICO ELVEDI,1,SUI,510,2,0,0,0.13,0,0,0.04,245,0.89,5,8,26,10.9,7.4,0,0,0,0,6,0,0.64
MANUEL AKANJI,1,SUI,510,5,0,0,0.38,1,0,0.07,275,0.92,6,8,28,11.3,6.6,0,0,1,0,11,0,0.87
RICARDO RODRÍGUEZ,1,SUI,477,4,0,0,0.05,2,0,0.28,217,0.84,4,5,25,11.5,5.9,2,0,0,0,14,1,1.45
GRANIT XHAKA,3,SUI,390,4,0,0,0.22,3,1,0.82,302,0.91,7,2,22,9.9,5.4,0,0,1,1,19,2,1.74
REMO FREULER,3,SUI,461,0,0,0,0,4,1,0.97,238,0.89,5,7,19,9.7,4.7,0,0,2,0,15,1,1.46
MARIO GAVRANOVIC,4,SUI,151,1,1,1,0.17,2,0,0.14,30,0.7,0,0,1,8.1,5.7,0,0,0,0,3,1,0.28
BREEL EMBOLO,4,SUI,368,11,4,1,1.41,5,0,0.52,110,0.8,3,0,16,12.9,8.8,4,0,2,0,18,0,2.23
XHERDAN SHAQIRI,4,SUI,371,11,5,3,1.61,3,0,0.24,126,0.82,1,2,15,11.1,2.6,4,0,1,0,19,3,2.07
HARIS SEFEROVIC,4,SUI,383,13,5,3,1.32,6,0,0.4,86,0.74,0,2,8,8.6,1.7,4,0,0,0,21,3,2.38
DENIS ZAKARIA,3,SUI,124,2,0,0,0.1,0,0,0.01,26,0.81,1,2,2,10.3,4.5,0,0,0,0,1,0,0.06
RUBEN VARGAS,2,SUI,167,1,0,0,0.06,1,0,0.11,55,0.76,3,3,14,12.4,4.4,0,0,0,0,2,0,0.09
FABIAN SCHÄR,1,SUI,190,2,1,0,0.14,0,0,0.05,126,0.86,0,2,11,10.5,7.3,0,0,0,0,3,0,0.15
KEVIN MBABU,2,SUI,216,2,0,0,0.35,2,1,0.7,79,0.71,5,5,11,13.6,10.4,0,0,1,1,6,1,1.21
STEVEN ZUBER,2,SUI,287,6,4,0,0.38,2,4,0.54,112,0.82,2,2,9,12.1,7.6,2,0,2,2,17,4,1.7
SILVAN WIDMER,2,SUI,294,1,0,0,0.06,0,0,0.06,137,0.79,2,4,18,10.9,5.2,0,0,0,0,6,0,0.46
TOMAS SOUCEK,3,TCH,450,11,1,0,0.79,4,1,0.2,217,0.8,5,2,27,10.7,5.1,1,0,0,0,17,0,1.06
PATRIK SCHICK,4,TCH,405,15,9,4,1.62,2,0,0.52,90,0.7,4,0,14,10.7,2.7,2,0,0,0,16,4,1.56
ALEX KRAL,3,TCH,125,1,0,0,0.03,0,0,0.03,69,0.68,0,2,10,13,3.5,1,0,0,0,2,0,0.09
ANTONIN BARAK,3,TCH,182,3,1,0,0.16,1,0,0.08,83,0.86,0,3,12,11.3,5.5,0,0,0,0,7,0,0.38
PETR SEVCIK,3,TCH,228,1,0,0,0.05,3,0,0.35,98,0.77,2,2,13,9.8,3.7,0,0,2,0,11,1,1.03
JAKUB JANKTO,3,TCH,247,3,0,0,0.14,7,0,0.31,81,0.81,0,0,15,12.7,5,0,0,2,0,13,0,0.8
VLADIMÍR DARIDA,3,TCH,249,2,1,0,0.07,0,0,0.1,113,0.81,2,1,10,9.9,3.5,0,0,0,0,7,1,0.33
TOMÁS HOLES,3,TCH,300,6,4,1,1.12,1,1,0.27,111,0.74,8,8,25,10.4,6.1,1,0,1,1,11,1,1.93
LUKAS MASOPUST,3,TCH,323,1,1,0,0.05,4,0,0.48,105,0.81,4,3,18,11.5,5.5,0,0,2,0,11,0,1.04
JAN BORIL,2,TCH,360,1,0,0,0.13,2,0,0.21,154,0.77,3,9,33,10,2.6,0,0,0,0,9,0,0.64
ONDREJ CELUSTKA,1,TCH,425,0,0,0,0,0,0,0.03,189,0.81,3,6,21,9.8,5.7,0,0,0,0,6,0,0.71
TOMAS KALAS,1,TCH,450,1,0,0,0.06,0,0,0.41,205,0.81,3,5,25,11.1,6.3,0,0,0,0,5,0,0.25
VLADIMIR COUFAL,2,TCH,450,3,0,0,0.14,5,1,1.16,242,0.75,6,6,34,11.7,7,0,0,1,1,21,2,1.97
MERIH DEMIRAL,1,TUR,225,3,1,0,0.13,2,0,0.01,128,0.86,0,5,16,10.1,4.2,0,0,0,0,4,0,0.14
ÇAGLAR SÖYÜNCÜ,1,TUR,270,1,1,0,0.05,0,0,0.02,176,0.91,2,0,12,10.3,6.6,0,0,0,0,8,1,0.81
CENGIZ ÜNDER,4,TUR,208,8,1,0,0.42,4,0,0.46,57,0.77,3,1,8,12.6,6,4,0,1,0,11,1,0.61
BURAK YILMAZ,4,TUR,270,10,1,0,1.66,5,0,0.15,47,0.72,2,0,2,12.3,6.8,2,0,1,0,15,0,1.51
MERT MÜLDÜR,2,TUR,108,4,4,0,0.2,1,0,0.11,49,0.84,2,3,3,16.1,9.4,0,0,0,0,9,1,0.43
IRFAN CAN KAHVECI,3,TUR,112,2,1,1,0.06,4,0,0.05,61,0.8,2,1,3,10.3,4.6,1,1,2,0,10,1,0.92
YUSUF YAZICI,3,TUR,117,1,0,0,0.03,4,0,0.35,49,0.92,2,0,6,13.4,3.4,1,0,1,0,4,0,0.19
OKAY YOKUSLU,3,TUR,137,0,0,0,0,0,0,0.01,69,0.88,2,3,13,8.9,4.7,0,0,0,0,2,0,0.11
KENAN KARAMAN,4,TUR,161,2,0,0,0.17,0,0,0.08,42,0.6,0,2,7,8.8,5.3,0,0,0,0,3,0,0.2
UMUT MERAS,2,TUR,162,1,0,0,0.04,0,0,0.09,63,0.84,1,4,7,7.4,5.4,0,0,0,0,5,0,0.24
OZAN TUFAN,3,TUR,172,2,0,0,0.05,1,0,0.08,79,0.87,1,2,11,9.4,4.1,0,0,1,0,6,1,0.32
KAAN AYHAN,3,TUR,179,3,2,0,0.15,2,0,0.16,124,0.93,0,2,8,8,3,0,0,0,0,10,1,1.26
HAKAN CALHANOGLU,4,TUR,266,1,1,0,0.03,4,1,0.45,139,0.83,2,2,14,9.2,3,0,0,1,0,11,1,0.92
MEHMET ZEKI ÇELIK,2,TUR,270,1,0,0,0.05,2,0,0.21,127,0.81,1,10,16,9.4,3.1,0,0,0,0,10,1,0.49
ANDRIY YARMOLENKO,4,UKR,445,10,5,2,1.66,5,2,0.44,147,0.79,2,0,17,13.8,8.1,3,1,2,0,16,3,1.91
VIKTOR TSYGANKOV,4,UKR,139,1,0,0,0.46,2,0,0.09,71,0.82,2,0,7,9.7,4.3,0,0,0,0,6,1,0.89
SERHII KRYVTSOV,1,UKR,155,0,0,0,0,0,0,0.01,106,0.92,0,1,1,7.9,2.5,0,0,0,0,4,1,0.38
TARAS STEPANENKO,3,UKR,185,2,0,0,0.07,1,0,0.03,96,0.81,1,2,7,7,0.9,0,0,0,0,8,2,1.01
RUSLAN MALINOVSKIY,4,UKR,283,11,3,0,0.42,6,0,1.04,113,0.81,1,1,7,12.3,6.2,2,0,2,0,17,2,2.46
MYKOLA SHAPARENKO,3,UKR,323,3,1,0,0.11,1,0,0.1,210,0.92,6,3,21,11.7,6.8,2,0,1,0,11,2,1.67
VITALII MYKOLENKO,2,UKR,355,0,0,0,0,0,0,0.16,171,0.83,8,8,23,10.6,8.4,0,0,0,0,5,1,1.07
SERHIY SYDORCHUK,3,UKR,373,2,0,0,0.09,1,0,0.07,192,0.88,2,6,30,10.5,4.3,0,0,1,0,8,1,1.18
ROMAN YAREMCHUK,4,UKR,430,11,6,2,1.34,1,1,0.64,102,0.83,2,0,9,10.7,5.2,3,0,0,0,16,3,1.34
MYKOLA MATVIENKO,1,UKR,480,0,0,0,0,0,0,0.05,384,0.92,3,12,28,11,7.8,0,0,0,0,10,2,1.78
OLEKSANDR ZINCHENKO,3,UKR,480,2,1,1,0.12,3,1,0.88,262,0.83,7,4,31,12.1,4.9,0,0,0,0,18,4,2.26
OLEKSANDR KARAVAEV,2,UKR,480,5,0,0,0.24,5,0,1.1,239,0.82,5,7,20,13.4,10.4,0,0,2,1,15,2,1.82
ILLIA ZABARNYI,1,UKR,480,2,1,0,0.48,0,0,0.03,311,0.89,4,10,21,9.5,6.7,0,0,0,0,10,2,2.14